datetime,Q
2021-03-22 04:45:00,-421.9772472
2021-03-22 05:00:00,-444.88540560000007
2021-03-22 05:15:00,-442.5945897600001
2021-03-22 05:30:00,-449.46703728000006
2021-03-22 05:45:00,-447.17622144000006
2021-03-22 06:00:00,-442.5945897600001
2021-03-22 06:15:00,-444.88540560000007
2021-03-22 06:30:00,-447.17622144000006
2021-03-22 06:45:00,-440.3037739200001
2021-03-22 07:00:00,-433.4313264000001
2021-03-22 07:15:00,-438.0129580800001
2021-03-22 07:30:00,-438.0129580800001
2021-03-22 07:45:00,-438.0129580800001
2021-03-22 08:00:00,-435.72214224000004
2021-03-22 08:15:00,-431.14051056000005
2021-03-22 08:30:00,-426.55887888
2021-03-22 08:45:00,-424.26806304
2021-03-22 09:00:00,-419.68643136000003
2021-03-22 09:15:00,-421.9772472
2021-03-22 09:30:00,-419.68643136000003
2021-03-22 09:45:00,-421.9772472
2021-03-22 10:00:00,-421.9772472
2021-03-22 10:15:00,-410.52316800000006
2021-03-22 10:30:00,-396.7782729600001
2021-03-22 10:45:00,-389.90582544000006
2021-03-22 11:00:00,-403.65072048000013
2021-03-22 11:15:00,-387.6150096
2021-03-22 11:30:00,-385.32419376000007
2021-03-22 11:45:00,-389.90582544000006
2021-03-22 12:00:00,-378.45174624000003
2021-03-22 12:15:00,-385.32419376000007
2021-03-22 12:30:00,-383.03337792
2021-03-22 12:45:00,-383.03337792
2021-03-22 13:00:00,-378.45174624000003
2021-03-22 13:15:00,-383.03337792
2021-03-22 13:30:00,-389.90582544000006
2021-03-22 13:45:00,-380.7425620800001
2021-03-22 14:00:00,-366.99766704000007
2021-03-22 14:15:00,-378.45174624000003
2021-03-22 14:30:00,-378.45174624000003
2021-03-22 14:45:00,-383.03337792
2021-03-22 15:00:00,-385.32419376000007
2021-03-22 15:15:00,-387.6150096
2021-03-22 15:30:00,-387.6150096
2021-03-22 15:45:00,-396.7782729600001
2021-03-22 16:00:00,-401.3599046400001
2021-03-22 16:15:00,-405.94153632000007
2021-03-22 16:30:00,-408.2323521600001
2021-03-22 16:45:00,-403.65072048000013
2021-03-22 17:00:00,-415.10479968000004
2021-03-22 17:15:00,-428.8496947200001
2021-03-22 17:30:00,-431.14051056000005
2021-03-22 17:45:00,-438.0129580800001
2021-03-22 18:00:00,-444.88540560000007
2021-03-22 18:15:00,-451.7578531200001
2021-03-22 18:30:00,-458.63030064000003
2021-03-22 18:45:00,-472.37519568000005
2021-03-22 19:00:00,-474.6660115200001
2021-03-22 19:15:00,-481.53845904000013
2021-03-22 19:30:00,-488.41090656000006
2021-03-22 19:45:00,-506.7374332800001
2021-03-22 20:00:00,-504.4466174400002
2021-03-22 20:15:00,-506.7374332800001
2021-03-22 20:30:00,-511.3190649600001
2021-03-22 20:45:00,-520.4823283200001
2021-03-22 21:00:00,-529.64559168
2021-03-22 21:15:00,-525.0639600000001
2021-03-22 21:30:00,-518.1915124800001
2021-03-22 21:45:00,-527.3547758400001
2021-03-22 22:00:00,-520.4823283200001
2021-03-22 22:15:00,-531.9364075200002
2021-03-22 22:30:00,-527.3547758400001
2021-03-22 22:45:00,-527.3547758400001
2021-03-22 23:00:00,-531.9364075200002
2021-03-22 23:15:00,-525.0639600000001
2021-03-22 23:30:00,-527.3547758400001
2021-03-22 23:45:00,-525.0639600000001
2021-03-23 00:00:00,-522.7731441600001
2021-03-23 00:15:00,-518.1915124800001
2021-03-23 00:30:00,-518.1915124800001
2021-03-23 00:45:00,-515.9006966400001
2021-03-23 01:00:00,-515.9006966400001
2021-03-23 01:15:00,-518.1915124800001
2021-03-23 01:30:00,-515.9006966400001
2021-03-23 01:45:00,-515.9006966400001
2021-03-23 02:00:00,-515.9006966400001
2021-03-23 02:15:00,-518.1915124800001
2021-03-23 02:30:00,-520.4823283200001
2021-03-23 02:45:00,-525.0639600000001
2021-03-23 03:00:00,-522.7731441600001
2021-03-23 03:15:00,-525.0639600000001
2021-03-23 03:30:00,-527.3547758400001
2021-03-23 03:45:00,-527.3547758400001
2021-03-23 04:00:00,-529.64559168
2021-03-23 04:15:00,-525.0639600000001
2021-03-23 04:30:00,-522.7731441600001
2021-03-23 04:45:00,-529.64559168
2021-03-23 05:00:00,-529.64559168
2021-03-23 05:15:00,-531.9364075200002
2021-03-23 05:30:00,-529.64559168
2021-03-23 05:45:00,-515.9006966400001
2021-03-23 06:00:00,-534.2272233600002
2021-03-23 06:15:00,-531.9364075200002
2021-03-23 06:30:00,-531.9364075200002
2021-03-23 06:45:00,-531.9364075200002
2021-03-23 07:00:00,-529.64559168
2021-03-23 07:15:00,-527.3547758400001
2021-03-23 07:30:00,-525.0639600000001
2021-03-23 07:45:00,-525.0639600000001
2021-03-23 08:00:00,-520.4823283200001
2021-03-23 08:15:00,-509.02824912000017
2021-03-23 08:30:00,-506.7374332800001
2021-03-23 08:45:00,-518.1915124800001
2021-03-23 09:00:00,-511.3190649600001
2021-03-23 09:15:00,-504.4466174400002
2021-03-23 09:30:00,-499.8649857600001
2021-03-23 09:45:00,-495.2833540800001
2021-03-23 10:00:00,-497.57416992000003
2021-03-23 10:15:00,-492.99253824000004
2021-03-23 10:30:00,-495.2833540800001
2021-03-23 10:45:00,-486.1200907200001
2021-03-23 11:00:00,-488.41090656000006
2021-03-23 11:15:00,-486.1200907200001
2021-03-23 11:30:00,-495.2833540800001
2021-03-23 11:45:00,-490.7017224000001
2021-03-23 12:00:00,-495.2833540800001
2021-03-23 12:15:00,-488.41090656000006
2021-03-23 12:30:00,-490.7017224000001
2021-03-23 12:45:00,-497.57416992000003
2021-03-23 13:00:00,-502.15580160000013
2021-03-23 13:15:00,-504.4466174400002
2021-03-23 13:30:00,-506.7374332800001
2021-03-23 13:45:00,-518.1915124800001
2021-03-23 14:00:00,-525.0639600000001
2021-03-23 14:15:00,-525.0639600000001
2021-03-23 14:30:00,-536.5180392
2021-03-23 14:45:00,-543.3904867200001
2021-03-23 15:00:00,-552.5537500800001
2021-03-23 15:15:00,-561.7170134400001
2021-03-23 15:30:00,-573.1710926400001
2021-03-23 15:45:00,-589.2068035200001
2021-03-23 16:00:00,-589.2068035200001
2021-03-23 16:15:00,-600.66088272
2021-03-23 16:30:00,-618.9874094400001
2021-03-23 16:45:00,-625.8598569600001
2021-03-23 17:00:00,-628.1506728
2021-03-23 17:15:00,-644.1863836800002
2021-03-23 17:30:00,-639.6047520000001
2021-03-23 17:45:00,-655.6404628800002
2021-03-23 18:00:00,-667.0945420800001
2021-03-23 18:15:00,-678.5486212800001
2021-03-23 18:30:00,-690.00270048
2021-03-23 18:45:00,-708.3292272000001
2021-03-23 19:00:00,-701.4567796800002
2021-03-23 19:15:00,-701.4567796800002
2021-03-23 19:30:00,-703.7475955200001
2021-03-23 19:45:00,-712.9108588800002
2021-03-23 20:00:00,-715.2016747200001
2021-03-23 20:15:00,-701.4567796800002
2021-03-23 20:30:00,-706.0384113600002
2021-03-23 20:45:00,-703.7475955200001
2021-03-23 21:00:00,-696.8751480000001
2021-03-23 21:15:00,-696.8751480000001
2021-03-23 21:30:00,-680.8394371200001
2021-03-23 21:45:00,-680.8394371200001
2021-03-23 22:00:00,-680.8394371200001
2021-03-23 22:15:00,-676.2578054400002
2021-03-23 22:30:00,-680.8394371200001
2021-03-23 23:00:00,-678.5486212800001
2021-03-23 23:15:00,-673.9669896000001
2021-03-23 23:30:00,-676.2578054400002
